DynamicHysteresisResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	VcShift [V]	Rav [Ohm]	Cls [F]	Epsls [1]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Ipk+ [A]	Ipk- [A]	Hysteresis Frequency [Hz]	Hysteresis Amplitude [V]	Current Range []	Averages []	
1.000000e+000	1.887090e+002	-1.858090e+002	2.959000e-001	-3.013730e-001	2.190330e-001	-2.151130e-001	7.747650e-001	3.406190e-001	4.341460e-001	3.410640e+002	1.450060e+000	3.157350e+006	9.394090e-010	3.176180e+003	0.000000e+000	5.042670e+002	-4.989070e+002	5.596520e-001	-5.596520e-001	3.373550e-004	-3.434300e-004	1.000000e+002	5.000000e+002	5.000000e+000	1.000000e+000	
2.000000e+000	1.849820e+002	-1.914890e+002	2.372020e-001	-3.466340e-001	1.510190e-001	-1.011300e-001	4.880020e-001	2.358530e-001	2.521490e-001	2.783310e+002	-3.253780e+000	3.273820e+005	6.740420e-010	2.278960e+003	0.000000e+000	3.804850e+002	-4.119960e+002	3.868720e-001	-3.868720e-001	2.235410e-003	-2.352640e-003	1.000000e+003	5.000000e+002	4.000000e+000	1.000000e+000	
3.000000e+000	1.720340e+002	-1.716800e+002	3.053230e-001	-2.984790e-001	2.454170e-001	-2.368080e-001	8.390880e-001	3.568640e-001	4.822240e-001	3.402340e+002	1.766510e-001	3.125110e+007	1.036580e-009	3.504720e+003	0.000000e+000	5.020460e+002	-4.971570e+002	6.022810e-001	-6.022810e-001	3.689000e-005	-3.675320e-005	1.000000e+001	5.000000e+002	6.000000e+000	1.000000e+000	
4.000000e+000	1.701350e+002	-1.689060e+002	3.406390e-001	-3.327350e-001	2.944530e-001	-2.836550e-001	9.458410e-001	3.677330e-001	5.781070e-001	3.788670e+002	6.146670e-001	2.806040e+008	1.147450e-009	3.879580e+003	0.000000e+000	5.004330e+002	-4.958650e+002	6.621860e-001	-6.621860e-001	4.286540e-006	-4.266760e-006	1.000000e+000	5.000000e+002	7.000000e+000	1.000000e+000	

DynamicHysteresis
Program: aixPlorer Software version 3.0.63.0
TimeStamp: 02/15/2024 15:10:48
TfaModule: DHM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU624-1
TfaVersion: 4.7.0

Table 1
Timestamp: 02/15/2024 15:13:37
TableVersion: 4.7.0
Monitoring: YES
Averages: 1
Settings: PSW HV MON
Waveform: triangle
SampleName: G1_BTO_500V_100Hz
Area [mm2]: 78.5
Thickness [nm]: 2.35e+006
Number Of Ceramic Layers: 1
Current Range: 5 (1mA)
Hysteresis Frequency [Hz]: 100
Hysteresis Amplitude [V]: 500
Cls [F]: 9.39409e-010
Epsls [1]: 3176.18
Vc+ [V]: 188.709
Vc- [V]: -185.809
Pr+ [uC/cm2]: 0.2959
Pr- [uC/cm2]: -0.301373
Prrel+ [uC/cm2]: 0.219033
Prrel- [uC/cm2]: -0.215113
Wloss [uJ/cm2]: 341.064
VcShift [V]: 1.45006
Vmax+ [V]: 504.267
Vmax- [V]: -498.907
Pvmax+ [uC/cm2]: 0.559652
Pvmax- [uC/cm2]: -0.559652
Ipk+ [A]: 0.000337355
Ipk- [A]: -0.00034343
Psw [uC/cm2]: 0.774765
Pnsw [uC/cm2]: 0.340619
dPsw [uC/cm2]: 0.434146
Rav [Ohm]: 3.15735e+006
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.63.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	
0.000000e+000	1.682960e+000	1.698299e+000	1.781661e-004	-3.013725e-001	1.067781e-006	-2.151127e-001	-5.941679e-007	2.190333e-001	
2.500000e-005	3.211985e+000	2.094014e+000	1.818315e-004	-2.956401e-001	5.844912e-006	-2.150027e-001	-6.309699e-006	2.189234e-001	
5.000000e-005	3.972301e+000	-1.348243e-001	1.835637e-004	-2.898217e-001	1.809175e-005	-2.146215e-001	-2.024879e-005	2.185005e-001	
7.500000e-005	7.570181e+000	-3.536111e+000	1.885834e-004	-2.838958e-001	2.810574e-005	-2.138859e-001	-3.208439e-005	2.176671e-001	
1.000000e-004	1.198285e+001	-6.691066e+000	1.909802e-004	-2.778518e-001	3.639875e-005	-2.128587e-001	-4.045437e-005	2.165120e-001	
1.250000e-004	1.601418e+001	-1.090715e+001	1.950802e-004	-2.717043e-001	4.535627e-005	-2.115569e-001	-4.958204e-005	2.150783e-001	
1.500000e-004	2.019710e+001	-1.796316e+001	1.988756e-004	-2.654312e-001	5.208413e-005	-2.100053e-001	-5.485744e-005	2.134153e-001	
1.750000e-004	2.549089e+001	-2.263401e+001	2.015732e-004	-2.590546e-001	6.067439e-005	-2.082098e-001	-6.177590e-005	2.115581e-001	
2.000000e-004	3.068046e+001	-2.637874e+001	2.058065e-004	-2.525676e-001	6.813369e-005	-2.061587e-001	-6.929207e-005	2.094710e-001	
2.250000e-004	3.630111e+001	-3.134566e+001	2.086117e-004	-2.459686e-001	7.613571e-005	-2.038614e-001	-7.642444e-005	2.071507e-001	
2.500000e-004	3.996768e+001	-3.740687e+001	2.131175e-004	-2.392532e-001	8.584594e-005	-2.012821e-001	-8.563995e-005	2.045700e-001	
2.750000e-004	4.454141e+001	-4.293514e+001	2.153526e-004	-2.324304e-001	9.296908e-005	-1.984347e-001	-9.251739e-005	2.017331e-001	
3.000000e-004	5.004600e+001	-4.599062e+001	2.181238e-004	-2.255279e-001	1.026988e-004	-1.953190e-001	-1.028463e-004	1.986223e-001	
3.250000e-004	5.564297e+001	-5.139810e+001	2.223341e-004	-2.185143e-001	1.110739e-004	-1.919150e-001	-1.116503e-004	1.952067e-001	
3.500000e-004	5.989695e+001	-5.622053e+001	2.239400e-004	-2.114080e-001	1.192962e-004	-1.882466e-001	-1.217285e-004	1.914905e-001	
3.750000e-004	6.466728e+001	-6.088428e+001	2.279371e-004	-2.042125e-001	1.291828e-004	-1.842900e-001	-1.313963e-004	1.874598e-001	
4.000000e-004	6.952051e+001	-6.546512e+001	2.302346e-004	-1.969168e-001	1.371439e-004	-1.800491e-001	-1.391494e-004	1.831518e-001	
4.250000e-004	7.460822e+001	-7.110472e+001	2.330424e-004	-1.895398e-001	1.473094e-004	-1.755196e-001	-1.499445e-004	1.785484e-001	
4.500000e-004	7.986174e+001	-7.578978e+001	2.374130e-004	-1.820484e-001	1.558468e-004	-1.706923e-001	-1.596274e-004	1.736189e-001	
4.750000e-004	8.304749e+001	-8.208074e+001	2.399498e-004	-1.744471e-001	1.651598e-004	-1.655807e-001	-1.697038e-004	1.683748e-001	
5.000000e-004	8.901159e+001	-8.570467e+001	2.442482e-004	-1.667369e-001	1.744505e-004	-1.601729e-001	-1.794069e-004	1.628157e-001	
5.250000e-004	9.351663e+001	-8.913438e+001	2.471852e-004	-1.589116e-001	1.824357e-004	-1.544900e-001	-1.865805e-004	1.569878e-001	
5.500000e-004	9.922019e+001	-9.424816e+001	2.497380e-004	-1.509988e-001	1.921666e-004	-1.485250e-001	-1.968704e-004	1.508819e-001	
5.750000e-004	1.035523e+002	-1.001862e+002	2.534608e-004	-1.429861e-001	1.990003e-004	-1.422962e-001	-2.046699e-004	1.444880e-001	
6.000000e-004	1.085287e+002	-1.057690e+002	2.556221e-004	-1.348797e-001	2.077016e-004	-1.358201e-001	-2.146691e-004	1.378106e-001	
6.250000e-004	1.142725e+002	-1.109230e+002	2.598809e-004	-1.266710e-001	2.145063e-004	-1.290970e-001	-2.230408e-004	1.308407e-001	
