PiezoResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	Dpp [nm]	Dpp1 [nm]	Dpp2 [nm]	Dpp3 [nm]	Dpp4 [nm]	VcShift [V]	Rav [Ohm]	Cls [F]	Epsls [1]	d33ls [nm/V]	d33ls+ [nm/V]	d33ls- [nm/V]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Dvmax+ [nm/V]	Dvmax- [nm/V]	Ipk+ [A]	Ipk- [A]	Hysteresis Frequency [Hz]	Hysteresis Amplitude [V]	Current Range []	Averages []	Delay [s]	
1.000000e+000	1.851780e+002	-1.833270e+002	2.882150e-001	-2.984010e-001	2.138740e-001	-2.115560e-001	7.691700e-001	3.437400e-001	4.254300e-001	3.340470e+002	7.767850e+001	7.601570e+001	7.241850e+001	7.408130e+001	7.767850e+001	9.255150e-001	3.228790e+006	9.353380e-010	3.162410e+003	-1.084720e-003	1.156000e-001	-1.050140e-001	0.000000e+000	5.045850e+002	-5.000230e+002	5.576140e-001	-5.576140e-001	5.304130e+001	5.633300e+001	3.358340e-004	-3.400630e-004	1.000000e+002	5.000000e+002	5.000000e+000	1.000000e+000	1.000000e+000	
2.000000e+000	1.877110e+002	-1.884850e+002	2.264880e-001	-3.502760e-001	1.640210e-001	-1.073470e-001	4.882410e-001	2.168740e-001	2.713680e-001	2.728190e+002	7.006610e+001	2.018090e+001	3.650700e+001	2.925090e+001	3.106490e+001	-3.867950e-001	3.302530e+005	6.732920e-010	2.276420e+003	1.974670e-002	5.224780e-002	-1.013580e-001	0.000000e+000	3.825390e+002	-4.108320e+002	3.808950e-001	-3.808950e-001	2.902420e+001	1.587260e+001	2.230410e-003	-2.356340e-003	1.000000e+003	5.000000e+002	4.000000e+000	1.000000e+000	1.000000e+000	
3.000000e+000	1.692060e+002	-1.715130e+002	3.030930e-001	-2.944880e-001	2.441870e-001	-2.324010e-001	8.315360e-001	3.549480e-001	4.765880e-001	3.359350e+002	4.741460e+001	4.734790e+001	3.669630e+001	3.676290e+001	4.741460e+001	-1.153760e+000	3.165510e+007	1.032410e-009	3.490630e+003	-2.107050e-003	6.442500e-002	-7.271410e-002	0.000000e+000	5.013950e+002	-4.968520e+002	5.991350e-001	-5.991350e-001	3.853560e+001	4.175540e+001	3.660430e-005	-3.695380e-005	1.000000e+001	5.000000e+002	6.000000e+000	1.000000e+000	1.000000e+000	
4.000000e+000	1.671040e+002	-1.699660e+002	3.364000e-001	-3.256080e-001	2.917070e-001	-2.769630e-001	9.341020e-001	3.654320e-001	5.686700e-001	3.723870e+002	1.364340e+002	5.580560e+001	5.816360e+001	1.364340e+002	1.340760e+002	-1.430900e+000	2.854790e+008	1.139480e-009	3.852610e+003	-7.072180e-002	9.095610e-002	-2.379420e-001	0.000000e+000	5.002880e+002	-4.959190e+002	6.571390e-001	-6.571390e-001	4.656360e+001	1.154020e+002	4.247880e-006	-4.198050e-006	1.000000e+000	5.000000e+002	7.000000e+000	1.000000e+000	1.000000e+000	
5.000000e+000	3.895110e+002	-4.192100e+002	1.041650e+000	-1.007810e+000	8.674200e-001	-9.521910e-001	2.550070e+000	7.304570e-001	1.819610e+000	2.449780e+003	7.549320e+001	6.956050e+001	7.549320e+001	6.914860e+001	6.384650e+001	-1.484960e+001	1.736880e+008	1.304020e-009	4.408930e+003	4.314810e-003	7.269170e-002	-6.141580e-002	1.000000e+000	9.990600e+002	-9.941050e+002	1.597880e+000	-1.597880e+000	6.429750e+001	5.535820e+001	1.257510e-005	-2.165780e-005	1.000000e+000	1.000000e+003	6.000000e+000	1.000000e+000	1.000000e+000	

Piezo
Program: aixPlorer Software version 3.0.63.0
TimeStamp: 02/15/2024 15:17:50
TfaModule: PZM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU624-1
TfaVersion: 4.12.0

Table 1
Timestamp: 02/15/2024 15:17:58
Number Of Ceramic Layers: 1
TableVersion: 4.12.0
DOffset [nm]: -16.8528
AUX-Offset [*]: 0
Monitoring: YES
Averages: 1
Settings: PSW HV MON
Waveform: triangle
SampleName: G1_BTO-500V_100Hz
Area [mm2]: 78.5
Thickness [nm]: 2.35e+006
Current Range: 5 (1mA)
Hysteresis Frequency [Hz]: 100
Hysteresis Amplitude [V]: 500
Delay [s]: 1
DisplacementChannelFactor [nm/V]: -15480
Dpp [nm]: 77.6785
d33ls [nm/V]: -0.00108472
d33ls+ [nm/V]: 0.1156
d33ls- [nm/V]: -0.105014
Dpp1 [nm]: 76.0157
Dpp2 [nm]: 72.4185
Dpp3 [nm]: 74.0813
Dpp4 [nm]: 77.6785
Cls [F]: 9.35338e-010
Epsls [1]: 3162.41
Vc+ [V]: 185.178
Vc- [V]: -183.327
Pr+ [uC/cm2]: 0.288215
Pr- [uC/cm2]: -0.298401
Prrel+ [uC/cm2]: 0.213874
Prrel- [uC/cm2]: -0.211556
Vmax+ [V]: 504.585
Vmax- [V]: -500.023
Pvmax+ [uC/cm2]: 0.557614
Pvmax- [uC/cm2]: -0.557614
Dvmax+ [nm/V]: 53.0413
Dvmax- [nm/V]: 56.333
Ipk+ [A]: 0.000335834
Ipk- [A]: -0.000340063
Psw [uC/cm2]: 0.76917
Pnsw [uC/cm2]: 0.34374
dPsw [uC/cm2]: 0.42543
Wloss [uJ/cm2]: 334.047
VcShift [V]: 0.925515
Rav [Ohm]: 3.22879e+006
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.63.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	D1 [nm]	D2 [nm]	D3 [nm]	CH3 [V]	
0.000000e+000	2.071631e+000	3.301053e+000	1.792240e-004	-2.984011e-001	1.239731e-006	-2.115561e-001	-9.760826e-007	2.138737e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	
2.500000e-005	1.847310e+000	2.550731e+000	1.816914e-004	-2.926540e-001	6.281492e-006	-2.114363e-001	-5.023537e-006	2.137782e-001	1.357423e+000	5.842072e-001	5.072293e+000	0.000000e+000	
5.000000e-005	4.671952e+000	-2.037871e-001	1.853436e-004	-2.868095e-001	1.740220e-005	-2.110592e-001	-1.765101e-005	2.134171e-001	-6.854985e+000	-1.587669e+000	8.262237e+000	0.000000e+000	
7.500000e-005	7.082430e+000	-3.556543e+000	1.906017e-004	-2.808232e-001	2.964603e-005	-2.103100e-001	-3.044345e-005	2.126513e-001	-5.667240e+000	-3.999242e-001	3.443386e+000	0.000000e+000	
1.000000e-004	1.143663e+001	-6.532387e+000	1.924054e-004	-2.747243e-001	3.582396e-005	-2.092675e-001	-3.997424e-005	2.115300e-001	-8.721441e+000	-4.677953e-001	8.465850e+000	0.000000e+000	
1.250000e-004	1.659505e+001	-1.162507e+001	1.963216e-004	-2.685344e-001	4.572811e-005	-2.079689e-001	-4.732573e-005	2.101398e-001	-4.343753e+000	-1.214378e+000	5.683134e+000	0.000000e+000	
1.500000e-004	1.951173e+001	-1.731380e+001	2.017551e-004	-2.621956e-001	5.414146e-005	-2.063786e-001	-5.396934e-005	2.085269e-001	-6.108402e+000	1.364725e+000	5.004422e+000	0.000000e+000	
1.750000e-004	2.583156e+001	-2.075421e+001	2.027632e-004	-2.557542e-001	6.081319e-005	-2.045482e-001	-6.261274e-005	2.066705e-001	-4.784915e+000	2.213114e+000	6.972685e+000	0.000000e+000	
2.000000e-004	3.029314e+001	-2.609451e+001	2.081422e-004	-2.492111e-001	6.806348e-005	-2.024960e-001	-6.678496e-005	2.046100e-001	-1.102906e+001	1.534403e+000	7.379912e+000	0.000000e+000	
2.250000e-004	3.539459e+001	-3.176132e+001	2.110977e-004	-2.425353e-001	7.676060e-005	-2.001899e-001	-7.566772e-005	2.023416e-001	-9.535894e+000	-1.485862e+000	4.732938e+000	0.000000e+000	
2.500000e-004	4.025060e+001	-3.631493e+001	2.134885e-004	-2.357744e-001	8.473081e-005	-1.976183e-001	-8.290511e-005	1.998166e-001	-7.296147e+000	-2.232445e+000	4.936551e+000	0.000000e+000	
2.750000e-004	4.501020e+001	-4.108330e+001	2.162741e-004	-2.289311e-001	9.162405e-005	-1.948101e-001	-8.983708e-005	1.970659e-001	-7.296147e+000	6.251447e+000	3.680935e+000	0.000000e+000	
3.000000e-004	5.017958e+001	-4.648058e+001	2.206562e-004	-2.219736e-001	1.024474e-004	-1.917198e-001	-1.009227e-004	1.940283e-001	-1.381178e+001	2.109160e-001	6.395780e+000	0.000000e+000	
3.250000e-004	5.464115e+001	-5.124017e+001	2.240005e-004	-2.148931e-001	1.101681e-004	-1.883342e-001	-1.082274e-004	1.906979e-001	-6.753178e+000	-2.673607e+000	2.873784e-001	0.000000e+000	
3.500000e-004	5.921449e+001	-5.638326e+001	2.269015e-004	-2.077131e-001	1.195716e-004	-1.846760e-001	-1.168246e-004	1.871143e-001	-8.721441e+000	-2.673607e+000	9.721466e+000	0.000000e+000	
3.750000e-004	6.601204e+001	-5.977546e+001	2.310031e-004	-2.004216e-001	1.300656e-004	-1.807008e-001	-1.285031e-004	1.832078e-001	-6.447758e+000	4.145294e-001	4.902616e+000	0.000000e+000	
4.000000e-004	6.862412e+001	-6.457450e+001	2.312990e-004	-1.930601e-001	1.366887e-004	-1.764532e-001	-1.350295e-004	1.790114e-001	-1.343848e+001	-2.096703e+000	4.766873e+000	0.000000e+000	
4.250000e-004	7.492642e+001	-6.996082e+001	2.367501e-004	-1.856071e-001	1.468137e-004	-1.719388e-001	-1.458028e-004	1.745396e-001	-1.540675e+001	2.688212e+000	6.463652e+000	0.000000e+000	
4.500000e-004	7.840408e+001	-7.523977e+001	2.400541e-004	-1.780147e-001	1.577059e-004	-1.670898e-001	-1.551956e-004	1.697466e-001	-9.501959e+000	-2.130638e+000	1.780543e+000	0.000000e+000	
4.750000e-004	8.418046e+001	-8.023165e+001	2.408543e-004	-1.703569e-001	1.648998e-004	-1.619527e-001	-1.652478e-004	1.646440e-001	-7.805180e+000	6.181428e-001	4.088162e+000	0.000000e+000	
5.000000e-004	8.891596e+001	-8.547772e+001	2.469328e-004	-1.625896e-001	1.753746e-004	-1.565343e-001	-1.734230e-004	1.592512e-001	-6.312015e+000	-4.540063e+000	2.187770e+000	0.000000e+000	
5.250000e-004	9.415765e+001	-9.129793e+001	2.493729e-004	-1.546866e-001	1.834444e-004	-1.508207e-001	-1.817821e-004	1.535950e-001	-1.024854e+001	1.025370e+000	4.427518e+000	0.000000e+000	
5.500000e-004	9.994499e+001	-9.625694e+001	2.502389e-004	-1.467310e-001	1.907264e-004	-1.448625e-001	-1.909870e-004	1.476592e-001	-1.133448e+001	8.896273e-001	8.303475e-001	0.000000e+000	
5.750000e-004	1.033898e+002	-9.883834e+001	2.554990e-004	-1.386779e-001	1.985299e-004	-1.386642e-001	-1.992441e-004	1.414453e-001	-1.119874e+001	-3.759545e+000	4.088162e+000	0.000000e+000	
6.000000e-004	1.075972e+002	-1.043189e+002	2.570692e-004	-1.305160e-001	2.078838e-004	-1.321926e-001	-2.090615e-004	1.349437e-001	-1.052003e+001	-8.306911e+000	5.377713e+000	0.000000e+000	
6.250000e-004	1.133429e+002	-1.104108e+002	2.611589e-004	-1.222639e-001	2.161730e-004	-1.254401e-001	-2.149527e-004	1.281918e-001	-1.065577e+001	1.670145e+000	3.850613e+000	0.000000e+000	
6.500000e-004	1.192179e+002	-1.149250e+002	2.656125e-004	-1.138759e-001	2.227249e-004	-1.184513e-001	-2.234690e-004	1.212106e-001	-1.004493e+001	2.009501e+000	4.325711e+000	0.000000e+000	
