Peak list for sample Group1_BTO
2theta;Peak height;FWHM;Ba0.92 Ti0.90 O2.89;96-901-4669
22.08;;;;18.4
22.14;;;;9.2
22.23;164.3;0.2452;185.6;
22.21;;;;35.5
22.27;;;;17.8
31.59;1000.0;0.2452;435.1;605.7
31.61;31.7;0.2452;526.6;
38.94;275.1;0.1226;263.4;84.5
45.04;;;;40.4
45.16;;;;20.2
45.32;;;;79.3
45.44;;;;39.6
45.37;177.2;0.3269;349.7;
50.77;;;;1.2
50.91;;;;0.6
50.97;;;;1.6
51.10;;;;0.8
51.03;54.2;0.3269;101.0;
51.03;;;;1.3
51.17;;;;0.7
56.07;;;;16.1
56.22;;;;8.0
56.26;225.3;0.4495;375.4;
56.25;;;;32.5
56.40;;;;16.3
65.86;94.0;0.3677;200.1;
65.81;;;;24.6
66.00;;;;12.3
66.03;;;;12.2
66.21;;;;6.1
70.13;;;;0.7
70.33;;;;0.3
70.42;21.2;0.3269;52.2;
70.40;;;;4.7
70.60;;;;2.3
70.55;;;;2.6
70.76;;;;1.3
70.61;;;;1.2
70.81;;;;0.6
74.60;;;;3.0
74.81;;;;1.5
75.01;;;;2.8
75.23;;;;1.4
75.09;50.8;0.4903;149.9;
75.06;;;;2.6
75.28;;;;1.3
78.97;;;;0.0
79.20;;;;0.0
79.42;24.3;0.2452;76.6;
79.37;;;;0.1
79.61;;;;0.0
83.48;;;38.3;
83.73;;;19.2;
83.52;;;;7.1
83.77;;;;3.6
87.54;;;;1.8
87.81;;;;0.9
87.67;;;4.7;
87.94;;;2.3;
87.73;;;5.0;
88.00;;;2.5;
87.78;;;5.0;
88.06;;;2.5;
87.78;;;;1.5
88.06;;;;0.8
87.98;;;;1.5
88.26;;;;0.8
91.79;;;;1.8
92.09;;;;0.9
91.90;;;34.0;
92.20;;;17.0;
91.97;;;32.8;
92.26;;;16.4;
92.01;;;33.7;
92.30;;;16.9;
92.04;;;;1.5
92.33;;;;0.8
92.19;;;;1.7
92.48;;;;0.9
100.00;;;;0.7
100.34;;;;0.4
100.34;;;4.9;
100.68;;;2.5;
100.55;;;10.0;
100.90;;;5.0;
100.80;;;;1.5
101.15;;;;0.7
104.35;;;;0.9
104.72;;;;0.4
104.68;;;2.9;
105.05;;;1.5;
104.71;;;;1.1
105.08;;;;0.5
104.78;;;2.7;
105.15;;;1.4;
104.85;;;5.8;
105.22;;;2.9;
104.88;;;2.7;
105.26;;;1.3;
104.90;;;2.9;
105.27;;;1.4;
104.96;;;;1.8
105.34;;;;0.9
105.12;;;;1.0
105.49;;;;0.5
105.17;;;;0.9
105.54;;;;0.5
108.79;;;;0.4
109.19;;;;0.2
109.11;;;9.4;
109.51;;;4.7;
109.15;;;;0.4
109.56;;;;0.2
109.21;;;9.6;
109.61;;;4.8;
109.32;;;19.1;
109.72;;;9.5;
109.33;;;4.6;
109.73;;;2.3;
109.57;;;;0.7
109.98;;;;0.4
109.63;;;;0.1
110.03;;;;0.1
113.73;;;;0.0
114.16;;;;0.0
113.76;;;9.8;
114.20;;;4.9;
113.88;;;4.9;
114.32;;;2.5;
114.16;;;;0.0
114.60;;;;0.0
118.07;;;;1.5
118.55;;;;0.7
118.38;;;11.4;
118.86;;;5.7;
118.56;;;11.5;
119.04;;;5.7;
118.62;;;11.5;
119.10;;;5.8;
118.74;;;;1.5
119.23;;;;0.7
118.97;;;;1.5
119.45;;;;0.7
123.01;;;;1.1
123.53;;;;0.5
123.32;;;3.6;
123.85;;;1.8;
123.50;;;3.5;
124.04;;;1.8;
123.55;;;3.3;
124.08;;;1.7;
123.72;;;;1.1
124.25;;;;0.5
123.89;;;;1.2
124.43;;;;0.6
128.67;;;11.7;
129.26;;;5.9;
128.68;;;;0.4
129.28;;;;0.2
128.75;;;5.7;
129.35;;;2.8;
129.00;;;;0.1
129.60;;;;0.1
140.12;;;;0.8
140.91;;;;0.4
140.45;;;7.0;
141.25;;;3.5;
140.70;;;14.3;
141.51;;;7.1;
141.05;;;;1.7
141.87;;;;0.9
146.50;;;;0.1
147.45;;;;0.1
147.31;;;;0.3
148.30;;;;0.2
147.46;;;0.3;
148.45;;;0.1;
147.68;;;1.1;
148.68;;;0.6;
147.85;;;1.0;
148.85;;;0.5;
147.96;;;;0.4
148.96;;;;0.2
148.07;;;1.7;
149.08;;;0.8;
148.81;;;;0.5
149.84;;;;0.2
155.24;;;;0.1
156.57;;;;0.1
156.32;;;;0.2
157.72;;;;0.1
156.48;;;3.8;
157.89;;;1.9;
156.78;;;7.3;
158.21;;;3.7;
157.01;;;7.5;
158.46;;;3.7;
157.20;;;;0.2
158.66;;;;0.1
157.28;;;11.2;
158.74;;;5.6;
157.32;;;3.6;
158.78;;;1.8;
158.24;;;;0.3
159.77;;;;0.2
158.38;;;;0.1
159.92;;;;0.0
169.20;;;;0.0
172.82;;;;0.0
